term 	 tf-idf weight 	 BM25 ranking 
kupua 	 4685.42210777807 1.1820582280046468 
shamanism 	 4685.42210777807 1.1820582280046468 
lomi 	 2342.711053889035 1.4859039568812324 
practitioner 	 3161.77446106776 1.1820582280046468 
studied 	 2807.8701091769462 1.1820582280046468 
founder 	 3282.474443372503 1.1820582280046468 
shaman 	 1275.06956191698 1.625151262465022 
adventures 	 3057.2193806427586 1.1820582280046468 
urban 	 498.9299800752562 1.4859039568812324 
healer 	 1912.6043428754701 1.4859039568812324 
course 	 929.0366910888212 1.4859039568812324 
takes 	 1947.656687149816 1.1820582280046468 
training 	 1687.5958943271085 1.1820582280046468 
island 	 1150.7805195203148 1.4859039568812324 
molokai 	 4685.42210777807 1.1820582280046468 
march 	 1704.8053782879097 1.1820582280046468 
offered 	 1996.6101266662006 1.1820582280046468 
vancouver 	 1309.5201093446613 1.4859039568812324 
september 	 1858.0733821776423 1.1820582280046468 
trainings 	 4685.42210777807 1.1820582280046468 
speaker 	 2739.740200994066 1.1820582280046468 
friday 	 3161.77446106776 1.1820582280046468 
morning 	 2882.4979799637326 1.1820582280046468 
aug 	 3282.474443372503 1.1820582280046468 
calendar 	 3282.474443372503 1.1820582280046468 
information 	 650.3947892863091 1.1820582280046468 
issue 	 1111.5374738587543 1.1820582280046468 
aug96 	 4142.687865399633 1.1820582280046468 
htm 	 256.8475338079141 1.4859039568812324 
vision's 	 1309.5201093446613 1.4859039568812324 
library 	 1024.4147364493306 1.4859039568812324 
http 	 171.77408437528635 1.4859039568812324 
www 	 170.24776665255652 1.4859039568812324 
com 	 188.96846446077438 1.4859039568812324 
village 	 1947.656687149816 1.1820582280046468 
index 	 340.49553330511304 1.1820582280046468 
html 	 307.67930203806924 1.1820582280046468 
top 	 731.3848541016825 1.1820582280046468 
page 	 384.35499764242064 1.1820582280046468 
