term 	 tf-idf weight 	 BM25 ranking 
pain 	 1403.234587535413 1.4204639176615979 
overdue 	 6367.73405860071 0.8992918449565849 
shot 	 1241.666698981504 1.5314017381373934 
addressed 	 4537.102220225198 0.8992918449565849 
nursing 	 2069.3312749397405 1.2407055143771513 
page 	 226.62054990836637 1.4204639176615979 
wonderful 	 2255.3912429821426 1.4204639176615979 
dealing 	 2788.89744848207 0.8992918449565849 
ones 	 4447.716368449662 0.8992918449565849 
funneling 	 8287.75174875176 0.8992918449565849 
unresolved 	 3383.0868644732136 1.2407055143771513 
cast 	 5806.1648838709025 0.8992918449565849 
light 	 1394.448724241035 1.2407055143771513 
meaning 	 3363.594683588921 0.8992918449565849 
meaning' 	 8287.75174875176 0.8992918449565849 
human 	 2134.6797585126706 0.8992918449565849 
weeps 	 8287.75174875176 0.8992918449565849 
mother's 	 7327.742903676235 0.8992918449565849 
aloud 	 8287.75174875176 0.8992918449565849 
choking 	 8287.75174875176 0.8992918449565849 
little 	 1071.2396229540661 1.4204639176615979 
mirror 	 2703.862606762593 1.2407055143771513 
blessedly 	 8287.75174875176 0.8992918449565849 
looked 	 5407.725213525186 0.8992918449565849 
survive 	 4846.156038795379 0.8992918449565849 
bring 	 3324.5780189900465 0.8992918449565849 
classrooms 	 5806.1648838709025 0.8992918449565849 
hide 	 6367.73405860071 0.8992918449565849 
disappointment 	 7327.742903676235 0.8992918449565849 
especially 	 1201.7929192566983 1.2407055143771513 
schools 	 465.37721116697037 1.7346106183264414 
libraries 	 1591.9335146501776 1.5314017381373934 
bookstores 	 2762.5839162505863 1.4204639176615979 
specialized 	 4966.666795926016 0.8992918449565849 
requires 	 1177.2264901799438 1.4204639176615979 
lonely 	 6766.173728946427 0.8992918449565849 
concentration 	 5098.671394955006 0.8992918449565849 
anymore 	 6766.173728946427 0.8992918449565849 
financial 	 2326.6215946639836 0.8992918449565849 
issue 	 1966.1295035688056 0.8992918449565849 
unnatural 	 8287.75174875176 0.8992918449565849 
contemporary 	 2897.580635868541 0.8992918449565849 
culture 	 2712.639657083577 0.8992918449565849 
silent 	 6058.68024003053 0.8992918449565849 
grows 	 6367.73405860071 0.8992918449565849 
silence 	 6058.68024003053 0.8992918449565849 
marginalized 	 8287.75174875176 0.8992918449565849 
hidden 	 4966.666795926016 0.8992918449565849 
introduce 	 5098.671394955006 0.8992918449565849 
children 	 1308.5422650370747 1.2407055143771513 
ultimately 	 4209.703762606239 0.8992918449565849 
inspire 	 6367.73405860071 0.8992918449565849 
explore 	 5098.671394955006 0.8992918449565849 
feelings 	 4735.29688866753 0.8992918449565849 
firmly 	 5806.1648838709025 0.8992918449565849 
believes 	 4447.716368449662 0.8992918449565849 
music 	 1777.5864421292622 0.8992918449565849 
drama 	 4846.156038795379 0.8992918449565849 
lives 	 3363.594683588921 0.8992918449565849 
benefit 	 2737.5952872047865 0.8992918449565849 
theirlives 	 8287.75174875176 0.8992918449565849 
power 	 997.6442376539018 1.2407055143771513 
found 	 2594.1914468717227 0.8992918449565849 
american 	 1535.6034561181639 0.8992918449565849 
percent 	 3829.6087313093008 0.8992918449565849 
teachers 	 2142.2934320327854 1.2407055143771513 
hundreds 	 4071.0881725048175 0.8992918449565849 
audiovisual 	 8287.75174875176 0.8992918449565849 
equipment 	 3445.0887761206836 0.8992918449565849 
computers 	 4209.703762606239 0.8992918449565849 
expected 	 3487.7075233741375 0.8992918449565849 
exposed 	 6058.68024003053 0.8992918449565849 
workshop 	 5098.671394955006 0.8992918449565849 
hallmark 	 7327.742903676235 0.8992918449565849 
card 	 4447.716368449662 0.8992918449565849 
called 	 1211.7571199422773 1.2407055143771513 
received 	 2788.89744848207 0.8992918449565849 
calls 	 4071.0881725048175 0.8992918449565849 
outreach 	 3029.340120015265 1.2407055143771513 
program 	 544.7275339320661 1.4204639176615979 
run 	 3178.6537048039568 0.8992918449565849 
field 	 2897.580635868541 0.8992918449565849 
feel 	 2223.858184224831 1.2407055143771513 
unsure 	 7327.742903676235 0.8992918449565849 
uncomfortable 	 7327.742903676235 0.8992918449565849 
teach' 	 8287.75174875176 0.8992918449565849 
enjoy 	 2316.3286736173127 1.2407055143771513 
free 	 1752.6308120080528 0.8992918449565849 
conditions 	 2617.0845300741494 0.8992918449565849 
devoted 	 5806.1648838709025 0.8992918449565849 
classes 	 4006.6579508504915 0.8992918449565849 
try 	 3829.6087313093008 0.8992918449565849 
feature 	 4537.102220225198 0.8992918449565849 
