term 	 tf-idf weight 	 BM25 ranking 
dcn 	 7198.67534566669 0.9693997006973298 
davis 	 4428.665478794854 0.9693997006973298 
bang 	 5877.044762398954 0.9693997006973298 
join 	 3147.818462192962 0.9693997006973298 
pcc 	 7198.67534566669 0.9693997006973298 
psychic 	 2938.522381199477 1.3058527627246372 
chicken 	 2121.606429151025 1.4766931776531942 
tyrell 	 7198.67534566669 0.9693997006973298 
admark 	 7198.67534566669 0.9693997006973298 
knows 	 4428.665478794854 0.9693997006973298 
scitech 	 3599.337672833345 1.3058527627246372 
humor 	 5043.18870418534 0.9693997006973298 
challenges 	 4023.889378139534 0.9693997006973298 
reason 	 2822.659195515848 0.9693997006973298 
catalog 	 1577.262257809017 0.9693997006973298 
innovative 	 3790.319692767062 0.9693997006973298 
rice 	 4857.745436353149 0.9693997006973298 
gouge 	 7198.67534566669 0.9693997006973298 
twinkies 	 7198.67534566669 0.9693997006973298 
account 	 2313.962403979348 0.9693997006973298 
guys 	 7198.67534566669 0.9693997006973298 
playing 	 4555.414179131219 0.9693997006973298 
food 	 2592.8197456903085 0.9693997006973298 
extremes 	 7198.67534566669 0.9693997006973298 
teddy 	 2121.606429151025 1.4766931776531942 
bears 	 1959.0149207996515 1.4766931776531942 
rhein 	 7198.67534566669 0.9693997006973298 
joining 	 4314.0073324902505 0.9693997006973298 
totware 	 3599.337672833345 1.3058527627246372 
het 	 3721.558120917604 0.9693997006973298 
brown 	 3594.809420581239 0.9693997006973298 
mende 	 7198.67534566669 0.9693997006973298 
special 	 1988.8031373022338 0.9693997006973298 
pcs 	 2765.481614619731 1.3058527627246372 
macs 	 7198.67534566669 0.9693997006973298 
trove 	 7198.67534566669 0.9693997006973298 
investment 	 2921.5916276949256 0.9693997006973298 
corporation 	 2673.951606487334 0.9693997006973298 
netnanny 	 3599.337672833345 1.3058527627246372 
help 	 2070.671453585988 0.9693997006973298 
screen 	 4428.665478794854 0.9693997006973298 
unwanted 	 5877.044762398954 0.9693997006973298 
material 	 2313.962403979348 0.9693997006973298 
yahtzee 	 3599.337672833345 1.3058527627246372 
wwwcgi 	 3599.337672833345 1.3058527627246372 
umr 	 3599.337672833345 1.3058527627246372 
cgi 	 1860.779060458802 1.3058527627246372 
bin 	 2157.0036662451253 1.3058527627246372 
cgiwrap 	 3599.337672833345 1.3058527627246372 
user 	 1663.1838641751224 1.3058527627246372 
nneul 	 3599.337672833345 1.3058527627246372 
script 	 2765.481614619731 1.3058527627246372 
webyahtzee 	 3599.337672833345 1.3058527627246372 
welcome 	 3480.1512742766363 0.9693997006973298 
burlingame 	 7198.67534566669 0.9693997006973298 
line's 	 7198.67534566669 0.9693997006973298 
pezexhibit 	 7198.67534566669 0.9693997006973298 
spectrumnet 	 7198.67534566669 0.9693997006973298 
pez 	 3599.337672833345 1.3058527627246372 
candies 	 7198.67534566669 0.9693997006973298 
dispensers 	 7198.67534566669 0.9693997006973298 
eng 	 5262.521537008468 0.9693997006973298 
auburn 	 7198.67534566669 0.9693997006973298 
rudolmc 	 7198.67534566669 0.9693997006973298 
strange 	 4697.1071710258475 0.9693997006973298 
questions 	 1942.2295791488634 0.9693997006973298 
wierenga 	 7198.67534566669 0.9693997006973298 
xmission 	 7198.67534566669 0.9693997006973298 
wwwads 	 7198.67534566669 0.9693997006973298 
sharware 	 7198.67534566669 0.9693997006973298 
houses 	 4555.414179131219 0.9693997006973298 
bert's 	 7198.67534566669 0.9693997006973298 
programs 	 978.7773135795555 1.3058527627246372 
series 	 2731.248149421408 0.9693997006973298 
rachel's 	 7198.67534566669 0.9693997006973298 
fashion 	 4697.1071710258475 0.9693997006973298 
dolls 	 7198.67534566669 0.9693997006973298 
peter's 	 6364.819287453076 0.9693997006973298 
warbirds 	 7198.67534566669 0.9693997006973298 
dos 	 7198.67534566669 0.9693997006973298 
based 	 1480.1063457657335 0.9693997006973298 
shareware 	 7198.67534566669 0.9693997006973298 
birthday 	 1843.6544097464873 1.4766931776531942 
wbw 	 7198.67534566669 0.9693997006973298 
sunsite 	 7198.67534566669 0.9693997006973298 
unc 	 7198.67534566669 0.9693997006973298 
btbin 	 7198.67534566669 0.9693997006973298 
wide 	 2566.94778080949 0.9693997006973298 
webs 	 7198.67534566669 0.9693997006973298 
ece 	 6364.819287453076 0.9693997006973298 
ucdavis 	 5877.044762398954 0.9693997006973298 
darsie 	 7198.67534566669 0.9693997006973298 
string 	 2631.260768504234 1.3058527627246372 
cat's 	 5877.044762398954 0.9693997006973298 
cradle 	 5530.963229239462 0.9693997006973298 
delphi 	 6364.819287453076 0.9693997006973298 
edref 	 7198.67534566669 0.9693997006973298 
edmenu 	 7198.67534566669 0.9693997006973298 
experiences 	 3029.395054598619 0.9693997006973298 
spirograph 	 3599.337672833345 1.3058527627246372 
juniper 	 7198.67534566669 0.9693997006973298 
spiro 	 2765.481614619731 1.3058527627246372 
draws 	 4209.332645971726 0.9693997006973298 
input 	 4314.0073324902505 0.9693997006973298 
lucky 	 3599.337672833345 1.3058527627246372 
fortune 	 2938.522381199477 1.3058527627246372 
cookie 	 7198.67534566669 0.9693997006973298 
hci 	 7198.67534566669 0.9693997006973298 
ise 	 7198.67534566669 0.9693997006973298 
