term 	 tf-idf weight 	 BM25 ranking 
horn 	 4359.099290847135 0.7416279396105556 
action 	 3866.197184899332 0.7416279396105556 
tongue 	 11489.157658919406 0.7416279396105556 
concentration 	 7068.194280370838 0.7416279396105556 
readers 	 7496.629898894121 0.7416279396105556 
digest 	 3211.0837930290545 1.082025651833564 
cosmopolitan 	 10158.315072244312 0.7416279396105556 
family 	 3277.9587104085795 0.7416279396105556 
circle 	 7496.629898894121 0.7416279396105556 
chicago 	 4775.863140903763 0.7416279396105556 
tribune 	 8399.036867045934 0.7416279396105556 
kim 	 7753.010172733204 0.7416279396105556 
scott 	 1720.3836253970312 1.2774736602636105 
iannetta 	 11489.157658919406 0.7416279396105556 
board 	 4223.513561796344 0.7416279396105556 
forensic 	 9379.822064676635 0.7416279396105556 
examiner 	 10158.315072244312 0.7416279396105556 
hpd 	 11489.157658919406 0.7416279396105556 
public 	 517.7575210794053 1.404304537426343 
defender 	 9379.822064676635 0.7416279396105556 
prosecutor's 	 9379.822064676635 0.7416279396105556 
office 	 629.8102497920664 1.4932571907232772 
mental 	 2580.575438095547 1.082025651833564 
specialists 	 7753.010172733204 0.7416279396105556 
trial 	 4834.94472554393 0.7416279396105556 
attorneys 	 5469.008764335438 0.7416279396105556 
local 	 751.2459229874844 1.404304537426343 
assists 	 7496.629898894121 0.7416279396105556 
jury 	 6289.701272803162 0.7416279396105556 
selection 	 5835.8348189198405 0.7416279396105556 
karin 	 11489.157658919406 0.7416279396105556 
ireland 	 3144.850636401581 1.082025651833564 
communications 	 2056.8602783061856 0.7416279396105556 
hundreds 	 5643.674578490433 0.7416279396105556 
articles 	 2278.0976333212475 1.082025651833564 
children's 	 2055.2624374063416 1.2774736602636105 
book 	 1549.9088910913622 1.082025651833564 
wonderful 	 4689.911032338317 1.082025651833564 
nature 	 3251.4755319144947 0.7416279396105556 
vicky 	 10158.315072244312 0.7416279396105556 
chiu 	 10158.315072244312 0.7416279396105556 
irion 	 10158.315072244312 0.7416279396105556 
deborah 	 10158.315072244312 0.7416279396105556 
jensen 	 11489.157658919406 0.7416279396105556 
physics 	 6422.167586058109 0.7416279396105556 
iolani 	 11489.157658919406 0.7416279396105556 
sculptor 	 11489.157658919406 0.7416279396105556 
tropical 	 8399.036867045934 0.7416279396105556 
samurai 	 11489.157658919406 0.7416279396105556 
undersea 	 11489.157658919406 0.7416279396105556 
divers 	 11489.157658919406 0.7416279396105556 
designer 	 10158.315072244312 0.7416279396105556 
original 	 4718.545451656376 0.7416279396105556 
line 	 3124.2767116753894 0.7416279396105556 
jewelry 	 10158.315072244312 0.7416279396105556 
postage 	 11489.157658919406 0.7416279396105556 
stamps 	 9379.822064676635 0.7416279396105556 
johnson 	 3082.893656109513 1.082025651833564 
studied 	 1377.039747029307 1.4932571907232772 
eastern 	 4312.831991815339 0.7416279396105556 
hawaiian 	 1471.245414261536 1.5590955628438057 
cultural 	 3830.3082895159987 0.7416279396105556 
teachers 	 2969.8219418793847 1.082025651833564 
integrated 	 6564.454892593255 0.7416279396105556 
practices 	 4138.166177660343 0.7416279396105556 
western 	 3387.7028649812805 0.7416279396105556 
architectural 	 7753.010172733204 0.7416279396105556 
construction 	 4608.801297083674 0.7416279396105556 
topic 	 2535.3545982242367 0.7416279396105556 
adult 	 6165.787312219026 0.7416279396105556 
learning 	 1697.1083331276714 1.2774736602636105 
lern 	 11489.157658919406 0.7416279396105556 
conference 	 4312.831991815339 0.7416279396105556 
paulette 	 11489.157658919406 0.7416279396105556 
kahalepuna 	 11489.157658919406 0.7416279396105556 
talented 	 10158.315072244312 0.7416279396105556 
highly 	 2417.472362771965 1.082025651833564 
respected 	 3748.3149494470604 1.082025651833564 
feather 	 5744.578829459703 1.082025651833564 
art 	 543.3148880484351 1.404304537426343 
edition 	 6718.136891326446 0.7416279396105556 
kitty 	 11489.157658919406 0.7416279396105556 
kamaka 	 11489.157658919406 0.7416279396105556 
attorney 	 5387.29430465135 0.7416279396105556 
alcantara 	 11489.157658919406 0.7416279396105556 
frame 	 7496.629898894121 0.7416279396105556 
law 	 401.49206585939396 1.404304537426343 
kamakawiwoole 	 11489.157658919406 0.7416279396105556 
section 	 4895.902226307924 0.7416279396105556 
supervisor 	 8827.472485569217 0.7416279396105556 
hospital 	 4834.94472554393 0.7416279396105556 
facilities 	 4958.858686128067 0.7416279396105556 
branch 	 2140.7225286860366 1.2774736602636105 
employed 	 5387.29430465135 0.7416279396105556 
field 	 4016.8626865470023 0.7416279396105556 
dean 	 9379.822064676635 0.7416279396105556 
kaneshiro 	 11489.157658919406 0.7416279396105556 
exercise 	 2917.9174094599202 1.082025651833564 
strength 	 6165.787312219026 0.7416279396105556 
masters 	 9379.822064676635 0.7416279396105556 
power 	 2766.0316769609985 0.7416279396105556 
lifter 	 10158.315072244312 0.7416279396105556 
hubert 	 11489.157658919406 0.7416279396105556 
kimura 	 11489.157658919406 0.7416279396105556 
brain 	 6885.198735146534 0.7416279396105556 
applications 	 2252.4961161223723 1.082025651833564 
athletics 	 10158.315072244312 0.7416279396105556 
education 	 417.06104860273115 1.4932571907232772 
known 	 3504.1021388688355 0.7416279396105556 
brainial 	 11489.157658919406 0.7416279396105556 
connection 	 5643.674578490433 0.7416279396105556 
perfection 	 8048.97947800154 0.7416279396105556 
aikane 	 5744.578829459703 1.082025651833564 
introduction 	 3940.0524440887 0.7416279396105556 
grass 	 7068.194280370838 0.7416279396105556 
roots 	 4895.902226307924 0.7416279396105556 
campaigning 	 7753.010172733204 0.7416279396105556 
bridgin 	 11489.157658919406 0.7416279396105556 
florence 	 8048.97947800154 0.7416279396105556 
life 	 2378.8879724619655 0.7416279396105556 
