term 	 tf-idf weight 	 BM25 ranking 
settled 	 14623.948045070081 0.5057754414684522 
determined 	 9826.460477027875 0.5057754414684522 
factors 	 1252.3295316811796 1.2571778466026422 
courts 	 4835.472032380214 0.8073755263114146 
consider 	 3174.11394082871 1.0076710528135855 
sincerity 	 20004.29898633728 0.5057754414684522 
parent's 	 3842.4792342783708 1.1503634177109439 
desire 	 4835.472032380214 0.8073755263114146 
wishes 	 3899.0853520319974 1.0076710528135855 
interaction 	 5170.8930998452 0.8073755263114146 
interrelationship 	 17687.10796172538 0.5057754414684522 
adjustment 	 12306.757020458183 0.5057754414684522 
school 	 3103.644368565768 0.8073755263114146 
community 	 5152.51583589015 0.5057754414684522 
health 	 535.5183946622492 1.5438860336274551 
involved 	 3130.823829202949 0.8073755263114146 
past 	 1438.5400393470402 1.1503634177109439 
violence 	 902.0856018642409 1.5057313070307274 
parent 	 399.58263983385143 1.7886320514359024 
ongoing 	 10735.53488788969 0.5057754414684522 
occurrence 	 12306.757020458183 0.5057754414684522 
willingness 	 7311.974022535041 0.8073755263114146 
ability 	 2377.7518512735173 1.0076710528135855 
encourage 	 10951.287164052588 0.5057754414684522 
close 	 3921.924227185985 0.8073755263114146 
continuing 	 4493.1581716424025 0.8073755263114146 
minor 	 4994.782997923143 0.8073755263114146 
mean 	 5170.8930998452 0.8073755263114146 
sole 	 12658.977224302296 0.5057754414684522 
major 	 2239.0501052538343 0.8073755263114146 
decisions 	 1369.2792920909083 1.3401346558440155 
affecting 	 2345.016257871024 1.1503634177109439 
life 	 4141.990881218932 0.5057754414684522 
medical 	 796.6364139200572 1.4606104314743455 
care 	 550.6486790087605 1.604886980827877 
education 	 726.1641070202761 1.2571778466026422 
religion 	 4260.339523350144 0.5057754414684522 
includes 	 457.5951098536947 1.5438860336274551 
actual 	 1683.6687726555583 1.2571778466026422 
possession 	 11988.135089372325 0.5057754414684522 
control 	 2355.5200926002344 0.8073755263114146 
subject 	 738.8613795302456 1.1503634177109439 
custodial 	 2802.889416141578 1.2571778466026422 
joint 	 1202.6205518968272 1.4064239729092278 
reside 	 17687.10796172538 0.5057754414684522 
residential 	 7684.9584685567415 0.8073755263114146 
routine 	 12306.757020458183 0.5057754414684522 
share 	 8215.67575254545 0.5057754414684522 
day 	 2321.4066636686716 0.8073755263114146 
spend 	 11181.930333433469 0.5057754414684522 
necessarily 	 6153.378510229091 0.8073755263114146 
equal 	 9826.460477027875 0.5057754414684522 
amount 	 1983.2501010919088 1.1503634177109439 
spends 	 16331.638105319787 0.5057754414684522 
award 	 5080.519739491933 0.8073755263114146 
determine 	 2585.670801108623 1.0076710528135855 
cooperate 	 14014.447080707889 0.5057754414684522 
effectively 	 10951.287164052588 0.5057754414684522 
consistently 	 14623.948045070081 0.5057754414684522 
directly 	 2006.1487937696254 1.1503634177109439 
affect 	 3754.634726207989 0.8073755263114146 
produce 	 9826.460477027875 0.5057754414684522 
mediation 	 7684.9584685567415 0.8073755263114146 
disputes 	 11429.67328434336 0.5057754414684522 
